V_HV  V_BL  V_out  RT  Run
1000  -3.7  980  3800  27
1100  -3.9  620  4250  32
1120  -4.0  568  4300  33
1140  -4.1  504  4100  34
1160  -4.1  448  4200  35
1180  -4.1  380  4700  36
1200  -4.1  312  5300  37
1220  -3.9  244  14800  38
1230  -3.8  72  770  40
1240  -3.8  70  900  41
1260  -3.98  68  800  42
1270  -3.79  66  860  43
1275  -3.80  68  770  44
1280  -3.83  68  760  45
1285  -3.91  66  840  46
1290  -3.87  68  730  47
1300  -3.90  66  820  48
1320  -4.11  72  730  49
1340  -4.14  96  830  50
1360  -4.35  68  830  51
1380  -4.35  68  900  52
1400  -4.43  80  810  53
1420  -4.54  68  855  54
1440  -4.80  66  1060  55
1460  -5.25  68  820  56
1480  -5.68  66  740  57
1500  -6.37  68  740  58
