V_HV,V_BL,V_out,RT(us),RunNum
1000,-4.0,1940,3.3,75
1100,-3.9,760,2.8,76
1120,-4.2,720,2.3,77 
1140,-4.0,660,2.6,78
1160,-4.2,620,2.5,79
1180,-4.2,540,2.1,80
1200,-4.0,480,1.9,81
1220,-3.9,368,2.5,82
1230,-4.2,352,2.3,83
1240,-3.8,304,2.3,84
1260,-3.9,220,2.5,85
1270,-3.8,180,3.0,86
1275,-3.8,148,3.4,87
1280,-3.8,148,4.7,88
1285,-3.8,68,1.64,89
1290,-4.0,66,0.84,90
1300,-3.9,68,0.89,91
1320,-4.1,68,0.75,92
1340,-4.0,68,0.82,93
1360,-4.1,66,0.79,94
1380,-4.2,68,0.78,95
1400,-4.2,66,0.85,96
1420,-4.3,68,0.84,97
1440,-4.1,68,0.79,98
