V_HV,V_BL,V_out,RT(us),RunNum
1000,-3.2,1004,3.52,115
1100,-4.0,800,2.6,116
1120,-3.8,740,2.2,117
1140,-4.0,700,2.2,118
1160,-3.8,640,2.3,119
1180,-3.8,600,1.9,120
1200,-3.8,540,1.7,121
1220,-3.8,430,1.8,122
1230,-3.6,400,1.7,123
1240,-3.6,360,1.7,124
1260,-3.8,320,1.8,125
1270,-3.6,270,1.6,126
1275,-3.6,240,1.5,127
1280,-3.4,208,1.7,128
1285,-3.6,188,1.7,129
1290,-3.4,164,1.8,130
1300,-3.6,120,1.6,131
1320,-3.8,108,0.8,132
1340,-3.6,68,0.85,133
1360,-3.6,68,0.82,134
1380,-3.8,68,0.76,135
1400,-4.0,70,0.85,136
1420,-4.2,68,0.77,137
1440,-4.4,70,0.80,138
1460,-4.4,70,0.70,139
1480,-4.8,70,0.83,140
1500,-5.8,72,0.83,141
1520,-6.4,72,0.73,142
