
V_HV,Run,V1_out,FT,V2_out,RT(ns)
1000,581,2.08,3.024,677,1650
1100,582,1.64,2.468,539,1424
1120,583,1.56,2.208,503,1176
1140,584,1.44,1.928,480,1112
1160,585,1.36,2.252,446,960
1180,586,1.24,1.948,416,1056
1200,587,1.16,1.968,380,884
1220,588,1.04,1.596,346,784
1240,589,0.784,2.392,270,944
1260,590,0.704,2.312,234,951
1270,591,0.624,2.176,212,900
1280,592,0.568,2.156,193,853
1290,593,0.520,2.22,174,778
1300,594,0.432,2.136,148,740
1310,595,0.392,2.108,127,646
1320,596,0.296,1.904,96.6,484
1330,597,0.216,1.548,66,128
1340,598,0.140,1.396,47,138
1360,599,0.144,1.88,36.1,144
1380,600,0.136,2.06,40.9,140
1400,601,0.136,1.72,36,131
1450,602,0.140,1.92,36.2,104.7
1500,603,0.140,1.82,37.6,xxx
1550,604,0.144,1.78,41.0,xxx
1600,605,0.140,1.99,40.8,xxx
